paper_id_source;paper_id_target;similarity_score;threshold;model_used
P01;P02;0.607204;0.6;sentence-transformers/all-MiniLM-L6-v2
P02;P03;0.63499;0.6;sentence-transformers/all-MiniLM-L6-v2
P03;P04;0.672785;0.6;sentence-transformers/all-MiniLM-L6-v2
P03;P08;0.631672;0.6;sentence-transformers/all-MiniLM-L6-v2
P03;P23;0.620187;0.6;sentence-transformers/all-MiniLM-L6-v2
P04;P08;0.681603;0.6;sentence-transformers/all-MiniLM-L6-v2
P04;P09;0.696457;0.6;sentence-transformers/all-MiniLM-L6-v2
P04;P19;0.611283;0.6;sentence-transformers/all-MiniLM-L6-v2
P04;P23;0.682145;0.6;sentence-transformers/all-MiniLM-L6-v2
P04;P24;0.609515;0.6;sentence-transformers/all-MiniLM-L6-v2
P05;P11;0.614026;0.6;sentence-transformers/all-MiniLM-L6-v2
P08;P09;0.648798;0.6;sentence-transformers/all-MiniLM-L6-v2
P08;P24;0.640827;0.6;sentence-transformers/all-MiniLM-L6-v2
P09;P10;0.665639;0.6;sentence-transformers/all-MiniLM-L6-v2
P09;P11;0.678023;0.6;sentence-transformers/all-MiniLM-L6-v2
P09;P22;0.600818;0.6;sentence-transformers/all-MiniLM-L6-v2
P09;P24;0.645916;0.6;sentence-transformers/all-MiniLM-L6-v2
P10;P11;0.752022;0.6;sentence-transformers/all-MiniLM-L6-v2
P10;P15;0.624422;0.6;sentence-transformers/all-MiniLM-L6-v2
P10;P22;0.636475;0.6;sentence-transformers/all-MiniLM-L6-v2
P10;P28;0.716947;0.6;sentence-transformers/all-MiniLM-L6-v2
P11;P27;0.602368;0.6;sentence-transformers/all-MiniLM-L6-v2
P11;P28;0.708575;0.6;sentence-transformers/all-MiniLM-L6-v2
P12;P13;0.786467;0.6;sentence-transformers/all-MiniLM-L6-v2
P12;P29;0.714205;0.6;sentence-transformers/all-MiniLM-L6-v2
P13;P15;0.619483;0.6;sentence-transformers/all-MiniLM-L6-v2
P13;P29;0.771141;0.6;sentence-transformers/all-MiniLM-L6-v2
P15;P29;0.639817;0.6;sentence-transformers/all-MiniLM-L6-v2
P16;P25;0.656525;0.6;sentence-transformers/all-MiniLM-L6-v2
P16;P30;0.603249;0.6;sentence-transformers/all-MiniLM-L6-v2
P17;P18;0.692124;0.6;sentence-transformers/all-MiniLM-L6-v2
P17;P20;0.758861;0.6;sentence-transformers/all-MiniLM-L6-v2
P18;P28;0.669786;0.6;sentence-transformers/all-MiniLM-L6-v2
P21;P22;0.737936;0.6;sentence-transformers/all-MiniLM-L6-v2
P27;P28;0.617202;0.6;sentence-transformers/all-MiniLM-L6-v2
