source_paper_id,source_title,rank,similar_paper_id,similar_title,similarity_score
P01,The accuracy of MRI in diagnosing and classifying acute traumatic multiple ligament knee injuries,1,P02,Acute primary repair of extraarticular ligaments and staged surgery in multiple ligament knee injuries,0.918018
P01,The accuracy of MRI in diagnosing and classifying acute traumatic multiple ligament knee injuries,2,P16,Indirect Rectus Femoris Injury Mechanisms in Professional Soccer Players: Video Analysis and Magnetic Resonance Imaging Findings,0.901564
P01,The accuracy of MRI in diagnosing and classifying acute traumatic multiple ligament knee injuries,3,P06,Clinical and Radiological Changes of Ankle in Knee Osteoarthritis With Varus After Total Knee Arthroplasty: A Systematic Review,0.876372
P02,Acute primary repair of extraarticular ligaments and staged surgery in multiple ligament knee injuries,1,P01,The accuracy of MRI in diagnosing and classifying acute traumatic multiple ligament knee injuries,0.918018
P02,Acute primary repair of extraarticular ligaments and staged surgery in multiple ligament knee injuries,2,P06,Clinical and Radiological Changes of Ankle in Knee Osteoarthritis With Varus After Total Knee Arthroplasty: A Systematic Review,0.888506
P02,Acute primary repair of extraarticular ligaments and staged surgery in multiple ligament knee injuries,3,P04,Knee injuries in volleyball - a review of the articles,0.886311
P03,Non-operative Management of Acute Knee Injuries,1,P23,"Meniscus Tears in Elite Athletes: Treatment Considerations, Clinical Outcomes, and Return to Play",0.906468
P03,Non-operative Management of Acute Knee Injuries,2,P04,Knee injuries in volleyball - a review of the articles,0.904212
P03,Non-operative Management of Acute Knee Injuries,3,P08,"Stiff Landings, Core Stability, and Dynamic Knee Valgus: A Systematic Review on Documented ACL Ruptures in Male and Female Athletes",0.886168
P04,Knee injuries in volleyball - a review of the articles,1,P23,"Meniscus Tears in Elite Athletes: Treatment Considerations, Clinical Outcomes, and Return to Play",0.910699
P04,Knee injuries in volleyball - a review of the articles,2,P03,Non-operative Management of Acute Knee Injuries,0.904212
P04,Knee injuries in volleyball - a review of the articles,3,P16,Indirect Rectus Femoris Injury Mechanisms in Professional Soccer Players: Video Analysis and Magnetic Resonance Imaging Findings,0.898555
